Stop ID,Stop Name,Latitude,Longitude,2022_Avg_Board,2022_Avg_Alight,2022_Max_Number_of_Days,Year
1,7th St Station,35.227375,-80.838088,0.5,0,2,2022
2,CTC Station,35.225336,-80.840975,78,65,1,2022
3,3rd/ Convention Center Station,35.223631,-80.843237,6,3.5,2,2022
4,Brooklyn Village Station,35.221319,-80.847066,0,0,1,2022
5,Carson Station,35.218822,-80.850947,0,0,1,2022
6,Bland Station,35.215787,-80.855346,0,0,1,2022
7,East/ West Station,35.212117,-80.85914,0,0,1,2022
8,New Bern Station,35.199887,-80.869042,23.66666667,140.3333333,3,2022
9,Scaleybark Station,35.190842,-80.875075,0,0,1,2022
10,Woodlawn Station,35.175789,-80.879063,0,0,1,2022
11,Tyvola Station,35.162948,-80.87757,0,0,1,2022
12,Archdale Station,35.152897,-80.877485,0,0,1,2022
13,Arrowood Station,35.135606,-80.876364,0,0,1,2022
14,Sharon Rd West Station,35.11945,-80.881962,14.5,32,2,2022
15,I-485 Station,35.107087,-80.882925,0,0,1,2022
16,9th Street Station,35.229656,-80.835022,0,0,1,2022
21,9th Street Station (BusBridge-NB),35.22918,-80.835609,1,3,2,2022
22,9th Street Station (BusBridge- SB),35.228518,-80.834514,18,14,2,2022
23,7th Street Station (BusBridge- SB),35.22776,-80.83764,0,0,2,2022
24,Brooklyn Village Station (BusBridge- SB),35.221785,-80.846471,23,88,2,2022
25,Bland Street Station (BusBridge- SB),35.217593,-80.854765,6,17,3,2022
40,12th St & Davidson St,35.2296536,-80.8299733,654.4166667,224.1666667,31,2022
81,Parkwood Station,35.236921,-80.82329,2,0,2,2022
82,25th St Station,35.241703,-80.817147,0.5,0,2,2022
83,36th St Station,35.249085,-80.806364,0,0,1,2022
84,Sugar Creek Station,35.251423,-80.792853,0,0,1,2022
85,Old Concord Road Station,35.259934,-80.77279,13.5,7,2,2022
86,Tom Hunter Station,35.277951,-80.766283,42,29,2,2022
87,University City Blvd Station,35.286787,-80.760864,0,0,1,2022
88,McCullough Station,35.301124,-80.752875,19,2,2,2022
89,JW Clay Blvd Station,35.310742,-80.745189,0,0,1,2022
90,UNC Charlotte Station,35.312136,-80.733749,59,22,2,2022
120,Airport Dr & Stonewall Jackson Home Dr,35.2047711,-80.9279193,39.91666667,35.83333333,31,2022
126,Airport Dr & Ashley Cir,35.20794,-80.929098,18.5,24.25,31,2022
127,Airport Dr & Wilson Air Center Entrance,35.208967,-80.928956,32.08333333,28.66666667,31,2022
140,Airport Dr & Sentry Post Rd,35.2047363,-80.9280288,47.41666667,60.91666667,31,2022
160,Central Ave & Reddman Rd,35.2041765,-80.7483286,752,334.9166667,31,2022
170,Albemarle Rd & Jenkins Dr,35.2033285,-80.7434671,725.5,152.3333333,31,2022
180,Albemarle Rd & Executive Center Dr,35.2030998,-80.7431066,150.3333333,510.9166667,31,2022
183,Wachovia CIC -Entrance 1A,35.3135765,-80.7727801,44.58333333,26.5,23,2022
200,Graham St & Equipment Dr,35.2796568,-80.8065721,78,24.41666667,31,2022
210,Albemarle Rd & Farm Pond Ln,35.203081,-80.7376945,2418.916667,436.8333333,31,2022
230,Albemarle Rd & Winterhaven Dr,35.2027395,-80.7348864,180.6666667,488.0833333,31,2022
240,Albemarle Rd & Winterhaven Dr,35.2029796,-80.7355653,403.1666667,347.6666667,31,2022
250,Albemarle Rd & Regal Oaks Dr,35.2024959,-80.7312876,133.5,1170.75,31,2022
260,Albemarle Rd & Regal Oaks Dr,35.2026918,-80.731274,1213.166667,205.25,31,2022
270,Albemarle Rd & WT Harris Blvd,35.2024541,-80.7281381,423.5833333,138.6666667,31,2022
280,Albemarle Rd & WT Harris Blvd,35.2022873,-80.7286011,21.66666667,36.33333333,31,2022
285,Albemarle Rd & Lawyers Rd Park and Ride,35.2039085,-80.7241066,1737.333333,949.9166667,31,2022
300,Albemarle Rd & Lake Forest Rd East,35.2049613,-80.7182558,6.833333333,0.583333333,23,2022
320,Albemarle Rd & Lynton Blvd,35.207942,-80.7086043,2.916666667,17.91666667,23,2022
330,Albemarle Rd & Olde Savannah Rd,35.2103953,-80.6994776,0.083333333,2.75,23,2022
340,Albemarle Rd & Dwightware Blvd,35.211563,-80.6907881,68.75,26.58333333,31,2022
360,Alleghany St @ 1335,35.2377491,-80.8912318,62.83333333,16.33333333,31,2022
400,Alleghany St @ Phillip Berry Academy,35.2377806,-80.8911831,13.25,47.5,31,2022
410,Ashley Rd & Alleghany St,35.2404573,-80.8972053,1273.333333,587.75,31,2022
580,Anderson St & Tappan Pl,35.2433748,-80.7934491,11.08333333,32.83333333,31,2022
590,Anderson St & The Plaza,35.2433151,-80.7932816,9.083333333,4.666666667,31,2022
600,Anderson St & Byrnes St,35.2425028,-80.7918843,20.58333333,8.083333333,31,2022
610,Anderson St & Hampshire Pl,35.2421836,-80.7909601,4.416666667,58.33333333,31,2022
620,Anderson St & Hampshire Pl,35.2421956,-80.7906731,38.83333333,4.333333333,31,2022
630,Anderson St & Eastwood Dr,35.2420506,-80.7890241,45.58333333,10.66666667,31,2022
640,Anderson St & Eastwood Dr,35.2419907,-80.7892416,10.08333333,44.5,31,2022
670,Arboretum Center Dr & Providence Rd,35.0977913,-80.7799336,128.5833333,457.0833333,31,2022
720,Arrowhead Dr & Countryside Dr,35.2712446,-80.7697051,108.3333333,133.5,31,2022
750,Arrowhead Dr & Elgywood Ln,35.2711713,-80.7714205,6.666666667,13.66666667,31,2022
760,Arrowood Rd & Windsong Dr,35.1341713,-80.8996176,71.75,41.33333333,31,2022
770,Arrowood Rd & Forrest Point Blvd,35.1357423,-80.9030363,306.8333333,111.5833333,31,2022
790,Arrowood Rd & Arrowpoint Blvd,35.1400373,-80.912673,17,14.5,31,2022
795,Arrowood Rd & Microsoft Way,35.1428023,-80.91861,51.83333333,15.66666667,31,2022
810,Arrowood Rd & Royal Point Dr,35.1450341,-80.9226899,53.33333333,3.333333333,31,2022
930,Arrowood Rd & Fawnbrook Ln,35.1345511,-80.9001973,36.5,76.33333333,31,2022
960,Arrowood Rd & Forest Point Blvd,35.1359669,-80.903214,122.5,309.8333333,31,2022
1000,Arrowood Rd & Red Oak Blvd,35.1392208,-80.9103564,31.5,77.16666667,31,2022
1001,Arrowood Rd & Southern Pine Blvd,35.1390421,-80.9104631,77.16666667,25.83333333,31,2022
1020,Arrowood Rd & Arrowpoint Blvd,35.1405586,-80.9131875,21.16666667,26.08333333,31,2022
1030,Arrowood Rd & Crescent Executive Dr,35.1431581,-80.9187114,18.16666667,66.16666667,31,2022
1100,Arrowood Rd & Altacrest Pl,35.1461071,-80.9242088,119.3333333,688.4166667,31,2022
1110,Arrowood Rd & Tryon St,35.1463704,-80.9251659,777.8333333,172.25,31,2022
1170,Ashley Rd & Freedom Dr,35.2462561,-80.8927311,57.66666667,433.8333333,31,2022
1180,Tuckaseegee Rd & Freedom Dr,35.2461645,-80.8926096,4.416666667,5,31,2022
1190,Ashley Rd & Tuckaseegee Rd,35.2441918,-80.895506,893.0833333,1028.75,31,2022
1200,Ashley Rd & Freedom Dr,35.2441036,-80.8952298,1149.416667,758.0833333,31,2022
1210,Ashley Rd & Tuckaseegee Rd,35.243693,-80.8965871,6.916666667,31.91666667,31,2022
1220,Ashley Rd & Scott Futrell Dr,35.2410768,-80.8970426,48.66666667,65.08333333,31,2022
1230,Ashley & Allegany,35.2396123,-80.8972036,5.666666667,7.333333333,31,2022
1240,Ashley Rd & Alleghany St,35.2391343,-80.8970708,531.1666667,1055.5,31,2022
1260,Ashley & Allegany,35.2378978,-80.8971246,5.583333333,66.5,31,2022
1270,Ashley Rd & Alleghany St,35.237573,-80.8973166,40.25,9.416666667,31,2022
1290,Ashley Rd & Bullard St,35.2355803,-80.8970106,14.83333333,32.08333333,31,2022
1300,Ashley Rd & Bullard St,35.2355991,-80.8971326,13.83333333,17.75,31,2022
1310,Ashley Rd & Alleghany St,35.2378743,-80.8971371,39.58333333,114.4166667,27,2022
1330,Ashley Rd & Kempton Pl,35.2337955,-80.8958371,40.25,104.75,31,2022
1340,Ashley Rd & Kempton Pl,35.2334981,-80.8957461,110.5833333,44.75,31,2022
1350,Ashley Rd & Meredith Ave,35.2292278,-80.8929041,19.16666667,17.25,31,2022
1370,Central Ave & Reddman Rd,35.2049109,-80.7496103,243.0833333,689.25,31,2022
1380,Ashley Rd & Greenland Ave,35.2254681,-80.8904656,26.83333333,63.58333333,27,2022
1460,Baldwin Ave & Kings Dr,35.20722,-80.835358,118.4166667,9,31,2022
1550,Barclay Downs Dr & Carnegie Blvd,35.1565206,-80.8367773,13.33333333,72.91666667,27,2022
1570,Barclay Downs Dr & Runnymede Ln,35.1654273,-80.8360066,3.5,37.41666667,27,2022
1590,Barclay Downs Dr & Inverness Rd,35.1602816,-80.8387298,2.416666667,2.75,27,2022
1600,Barclay Downs Dr & Carnegie Blvd,35.1553913,-80.8361986,3.75,1.416666667,26,2022
1610,Barclay Downs Dr & Carnegie Blvd,35.1535625,-80.8359963,0.916666667,2.75,26,2022
1630,Bardot Dr & Milan Rd East,35.2868726,-80.8718853,28.83333333,23.66666667,31,2022
1650,Bardot Dr & Faggan Way,35.2884758,-80.8703766,12.41666667,15.16666667,31,2022
1670,Bardot Dr & Dedmon Dr,35.2893186,-80.869504,10.58333333,4.166666667,31,2022
1760,Barclay Downs Dr & Ferncliff Rd,35.1647191,-80.8361498,4.333333333,1.75,27,2022
1790,Barclay Downs Dr & Carnegie Blvd,35.1562978,-80.8363581,64.41666667,12.08333333,27,2022
1800,Barclay Downs Dr & Bulfinch Rd,35.1523443,-80.836461,14.33333333,3.083333333,26,2022
1990,Barrington Dr & Somersworth Dr,35.2569631,-80.7520276,71.25,24,31,2022
2010,Barrington Dr & Lyndeboro Dr,35.255046,-80.7503184,2.833333333,0.583333333,31,2022
2011,Barrington Dr & Lyndeboro Dr,35.254959,-80.750162,6.5,4.75,27,2022
2040,Barrington Dr & Craftsbury Dr,35.2536407,-80.7492,0.916666667,0.833333333,31,2022
2080,Barrington Dr & The Plaza,35.2514205,-80.7474423,133,119.25,31,2022
2100,Barrington Dr & The Plaza,35.2508193,-80.7470166,32.25,14.16666667,27,2022
2110,Barrington Dr & The Plaza,35.2505706,-80.7466596,71.91666667,95.58333333,27,2022
2120,Barrington Dr & Montego Dr,35.2496583,-80.7460636,4.166666667,30.5,27,2022
2130,Barrington Dr & Montego Dr,35.2494533,-80.746129,24.33333333,6.416666667,27,2022
2140,Barrington Dr & Rosecran Dr,35.2461026,-80.7451613,15.75,21.5,27,2022
2150,Barrington Dr & Markway Dr,35.2424563,-80.7446646,33.66666667,18.33333333,27,2022
2170,Barrington Dr & Markway Dr,35.2423268,-80.7444491,3.5,6.333333333,27,2022
2180,Barrington Dr & Delivau Dr,35.2401653,-80.7437432,5.416666667,21.33333333,27,2022
2190,Barrington Dr & Milton Rd,35.2381891,-80.7430596,35.58333333,19.75,27,2022
2240,Baxter St & Torrence St,35.2092958,-80.8332071,285.9166667,112.4166667,31,2022
2270,Bealer Rd & Hovis Rd,35.2694593,-80.8994823,5.333333333,5.916666667,31,2022
2280,Bealer Rd & Terminal St,35.2692301,-80.9014143,1,2,31,2022
2290,Bealer Rd & Exchange St,35.2693228,-80.9047713,3.25,73.41666667,31,2022
2370,Beatties Ford Rd & 5th St,35.2429238,-80.8584803,1.75,5.333333333,31,2022
2380,Beatties Ford Rd & 5th St,35.2429007,-80.8583934,23.41666667,30.75,31,2022
