"Stop ID","Stop Name","Latitude","Longitude","2022_Avg_Board","2022_Avg_Alight","2022_Max_Number_of_Days","2023_Avg_Board","2023_Avg_Alight","2023_Max_Number_of_Days","2021_Avg_Board","2021_Avg_Alight","2021_Max_Number_of_Days","2020_Avg_Board","2020_Avg_Alight","2020_Max_Number_of_Days","2019_Avg_Board","2019_Avg_Alight","2019_Max_Number_of_Days","2018_Avg_Board","2018_Avg_Alight","2018_Max_Number_of_Days","2017_Avg_Board","2017_Avg_Alight","2017_Max_Number_of_Days","Nearest_In","routes","Direction","Trans_P","Frequency_AM_Peak","Frquency_Midday","Frequency_PM_Peak","Frequency_Evening","Frequency_Late_Night"
"00001","7th St Station",35.227375,-80.838088,0.5,0,2,0,1,2,0,0,2,0,0,3,2,0,2,149,256,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00002","CTC Station",35.225336,-80.840975,78,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00003","3rd/ Convention Center Station",35.223631,-80.843237,6,3.5,2,9,0,2,2,1,2,0,3,3,4,2,2,12,33,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00004","Brooklyn Village Station",35.221319,-80.847066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00005","Carson Station",35.218822,-80.850947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00006","Bland Station",35.215787,-80.855346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00007","East/ West Station",35.212117,-80.85914,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00008","New Bern Station",35.199887,-80.869042,23.66666667,140.3333333,3,26,34,2,10,21,2,41,53,3,30,46,2,69,657,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00009","Scaleybark Station",35.190842,-80.875075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00010","Woodlawn Station",35.175789,-80.879063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00011","Tyvola Station",35.162948,-80.87757,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00012","Archdale Station",35.152897,-80.877485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00013","Arrowood Station",35.135606,-80.876364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00014","Sharon Rd West Station",35.11945,-80.881962,14.5,32,2,24,70,2,7,23,2,33,123,3,23,111,2,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00015","I-485 Station",35.107087,-80.882925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00016","9th Street Station",35.229656,-80.835022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00021","9th Street Station (BusBridge-NB)",35.22918,-80.835609,1,3,2,4,3,2,2,1,2,5,1,3,2,4,2,53,48,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00022","9th Street Station (BusBridge- SB)",35.228518,-80.834514,18,14,2,0,10,2,6,19,2,1,11,3,9,11,2,4,9,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00023","7th Street Station (BusBridge- SB)",35.22776,-80.83764,0,0,2,0,2,2,0,2,2,4,7,3,4,6,2,60,56,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00024","Brooklyn Village Station (BusBridge- SB)",35.221785,-80.846471,23,88,2,5,9,2,0,13,2,0,6,3,10,11,2,41,63,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00025","Bland Street Station (BusBridge- SB)",35.217593,-80.854765,6,17,3,10,7,2,0,7,2,8,10,3,6,5,2,156,110,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00040","12th St & Davidson St",35.2296536,-80.8299733,654.4166667,224.1666667,31,641.9090909,222.8181818,31,619.5833333,140.8333333,31,582.0833333,203.5833333,31,586.0833333,172.8333333,31,471.1,118.9,31,0,0,0,"CALDWELL & DAVIDSON","4","inbound","transfer point",2,2,2,2,1
"00081","Parkwood Station",35.236921,-80.82329,2,0,2,4,3,2,10,12,2,7,3,3,32,12,2,17,2,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00082","25th St Station",35.241703,-80.817147,0.5,0,2,7,5,2,4,8,2,7,7,3,13,2,2,23,28,5,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
"00083","36th St Station",35.249085,-80.806364,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"UNKNOWN","Routes Unknown","not applicable","transfer nature unknown",0,0,0,0,0
